Licensee Name,Doing Business As,License Type,Issue Date,License Number,Street Address,City,State,Zip,Location
COSTCO WHOLESALE CORPORATION,TRAVIS T GALCERAN,Manager Permit (LLDS),08/01/18,4709201,5921 TRANQUIL STREAM LANE,Colorado Springs,CO,80923,"5921 TRANQUIL STREAM LANE
Colorado Springs, CO 80923
(38.917189, -104.699145)"
COSTCO WHOLESALE CORPORATION,HYLISE M DICKEY,Manager Permit (LLDS),08/01/18,4709202,12475 HEREFORD WAY,Colorado Springs,CO,80908,"12475 HEREFORD WAY
Colorado Springs, CO 80908
(39.012776, -104.661442)"
COSTCO WHOLESALE CORPORATION,ROBERT C SILENECK,Manager Permit (LLDS),08/01/18,4709203,6247 WHIRLWIND DRIVE,Colorado Springs,CO,80923,"6247 WHIRLWIND DRIVE
Colorado Springs, CO 80923
(38.920652, -104.734795)"
COSTCO WHOLESALE CORPORATION,CHRISTOPHER M DAGES,Manager Permit (LLDS),08/01/18,4709204,7973 KETTLE DRUM STREET,Colorado Springs,CO,80922,"7973 KETTLE DRUM STREET
Colorado Springs, CO 80922
(38.906744, -104.683872)"
COSTCO WHOLESALE CORPORATION,DENISE M GOLEMBIESKI,Manager Permit (LLDS),08/01/18,4709205,19820 LOCKRIDGE,Colorado Springs,CO,80908,"19820 LOCKRIDGE
Colorado Springs, CO 80908
(39.118348, -104.740278)"
SILVER MOON BREWING INC.,SILVER MOON BREWING,Nonresident Manufacturer (malt liquor),08/01/18,4709591,2095 SOUTHWEST BADGER AVENUE,Redmond,OR,97756,"2095 SOUTHWEST BADGER AVENUE
Redmond, OR 97756
(44.237504, -121.192519)"
"ELITE BRANDS OF COLORADO, INC.","ELITE BRAND OF COLORADO, INC.",3.2% Beer Wholesale,08/01/18,4600775,4780 HOLLY STREET,Denver,CO,80216,"4780 HOLLY STREET
Denver, CO 80216
(39.78333, -104.922262)"
CLEAR CREEK CIDERY LLC.,CLEAR CREEK CIDERY TAVERN AND TAPS,Hotel & Restaurant (city),08/01/18,4710324,1446 MINER STREET,Idaho Springs,CO,80452,"1446 MINER STREET
Idaho Springs, CO 80452
(39.741797, -105.517573)"
THE HANGOUT SPORTS BAR & GRILL LLC,THE HANGOUT SPORTS BAR & GRILL,Tavern (county),08/01/18,4710201,73 SIPPRELLE DRIVE #A,Parachute,CO,81635,"73 SIPPRELLE DRIVE #A
Parachute, CO 81635
(39.444996, -108.024696)"
WINTER PARK LIQUOR LLC,RIVERSIDE,Liquor Store (city),08/01/18,4710338,"201 ZEPHYR WAY, UNIT 1G",Winter Park,CO,80482,"201 ZEPHYR WAY, UNIT 1G
Winter Park, CO 80482
(39.885448, -105.761903)"
COSTCO WHOLESALE CORPORATION,COSTCO WHOLESALE #1030,Liquor Licensed Drug Store (city),07/31/18,4709771,5050 NORTH NEVADA AVENUE,Colorado Springs,CO,80918,"5050 NORTH NEVADA AVENUE
Colorado Springs, CO 80918
(38.903329, -104.817331)"
SUNCOR ENERGY SALES INC.,SHELL #109,3.2% Beer Off Premises (city),07/31/18,4600829,13780 EAST 6TH AVENUE,Aurora,CO,80011,"13780 EAST 6TH AVENUE
Aurora, CO 80011
(39.725569, -104.827676)"
"R J FOOD MART, LLC",CONOCO ROUTE 66,3.2% Beer Off Premises (city),07/31/18,4600816,14015 MEAD STREET,Mead,CO,80504,"14015 MEAD STREET
Mead, CO 80504
(40.204709, -104.974492)"
ONE TREE HARD CIDER LLC,ONE TREE HARD CIDER,Importer (vinous & spirituous),07/31/18,4708930,9514 EAST MONTGOMERY AVENUE  SUITE 25,Spokane,WA,99206,"9514 EAST MONTGOMERY AVENUE SUITE 25
Spokane, WA 99206
(47.678779, -117.276573)"
CASALINI 2 LLC,SATCHEL'S MARKET,Beer & Wine (city),07/30/18,4710299,5350 WEST 25TH AVENUE,Edgewater,CO,80214,"5350 WEST 25TH AVENUE
Edgewater, CO 80214
(39.753024, -105.055245)"
ANTOINETTE PARIS LLC,ELLINA,Hotel & Restaurant (city),07/30/18,4710372,430 EAST HYMAN AVENUE,Aspen,CO,81612,"430 EAST HYMAN AVENUE
Aspen, CO 81612
(39.188883, -106.818803)"
"BECKHAM ESTATE VINEYARD, LLC",BECKHAM ESTATE VINEYARD,Wine Delivery Permit,07/30/18,4710377,20790 SOUTHWEST HEATER ROAD,Sherwood,OR,97140,
BOOKCLIFF VINEYARDS INC.,BOOKCLIFF VINEYARDS,Wine Delivery Permit,07/30/18,4710378,1501 LEE HILL ROAD #17,Boulder,CO,80304,"1501 LEE HILL ROAD #17
Boulder, CO 80304
(40.061975, -105.278078)"
JASSAR CORPORATION INC.,SHERMAN FOOD & GAS,3.2% Beer Off Premises (city),07/30/18,4600788,207 SOUTH SHERMAN STREET,Fort Morgan,CO,80701,"207 SOUTH SHERMAN STREET
Fort Morgan, CO 80701
(40.245523, -103.792052)"
"TOMMYLONG, INC.",COCONUT LIQUORS,Liquor Store (county),07/30/18,4709830,1153 BERGEN PARKWAY,Evergreen,CO,80439,"1153 BERGEN PARKWAY
Evergreen, CO 80439
(39.69341, -105.356317)"
PH RIVER NORTH LLC,SAFTA DENVER,Hotel & Restaurant (city),07/30/18,4710027,"3330 BRIGHTON BOULEVARD, SUITE 201",Denver,CO,80216,"3330 BRIGHTON BOULEVARD, SUITE 201
Denver, CO 80216
(39.768888, -104.980723)"
TAP IT INC.,TAP IT TAVERN,Hotel & Restaurant (city),07/30/18,4710034,5515 OLDE WADSWORTH BOULEVARD #1,Arvada,CO,80002,"5515 OLDE WADSWORTH BOULEVARD #1
Arvada, CO 80002
(39.797254, -105.081462)"
A.K.A. KITCHEN INC,A.K.A. KITCHEN,Brew Pub (city),07/30/18,4710140,414 EAST 6TH STREET,Loveland,CO,80537,"414 EAST 6TH STREET
Loveland, CO 80537
(40.397524, -105.071279)"
SUNCOR ENERGY SALES INC.,SHELL #184,3.2% Beer Off Premises (city),07/27/18,4600796,9995 WEST 44TH AVENUE,Wheat Ridge,CO,80033,"9995 WEST 44TH AVENUE
Wheat Ridge, CO 80033
(39.778126, -105.109048)"
ERT WINDSOR LLC,THE LIQUOR CABINET WINE + SPIRITS,Liquor Store (city),07/26/18,4710084,1540 MAIN STREET SUITE 254,Windsor,CO,80550,"1540 MAIN STREET SUITE 254
Windsor, CO 80550
(40.479441, -104.928631)"
"NANRHAY AND NOTAE, LLC",KING LIQUOR,Liquor Store (city),07/26/18,4710091,851 ENGLEWOOD PARKWAY,Englewood,CO,80110,"851 ENGLEWOOD PARKWAY
Englewood, CO 80110
(39.655174, -104.998542)"
MOUNTAIN LUX CANDLES LLC,MOUNTAIN LUX CANDLES,Beer & Wine (city),07/26/18,4710077,"1111 WASHINGTON AVENUE, SUITE 100",Golden,CO,80401,"1111 WASHINGTON AVENUE, SUITE 100
Golden, CO 80401
(39.755824, -105.221719)"
"LAUNCH COLORADO, LLC",LAUNCH,Hotel & Restaurant (city),07/26/18,4710205,18455 WEST COLFAX AVENUE,Golden,CO,80401,"18455 WEST COLFAX AVENUE
Golden, CO 80401
(39.703797, -105.203979)"
WELCOME HOME BREWERY LLC,WELCOME HOME BREWERY,Manufacturer (brewery),07/26/18,4709487,19523 HESS ROAD SUITE 103,Parker,CO,80134,"19523 HESS ROAD SUITE 103
Parker, CO 80134
(39.493074, -104.763234)"
WELCOME HOME BREWERY LLC,WELCOME HOME BREWERY,Wholesale Beer (malt liquor),07/26/18,4709488,19523 HESS ROAD SUITE 103,Parker,CO,80134,"19523 HESS ROAD SUITE 103
Parker, CO 80134
(39.493074, -104.763234)"
BOCO CIDER CORPORATION,BOCO CIDER,Limited Winery,07/26/18,4709847,1501 LEE HILL DRIVE UNIT 14,Boulder,CO,80304,
DOZWELL BREWING COMPANY LLC,DODGETON CREEK BREWING COMPANY,Manufacturer (brewery),07/25/18,4709991,36730 DEMOCRACY DRIVE,Trinidad,CO,81082,"36730 DEMOCRACY DRIVE
Trinidad, CO 81082
(37.217657, -104.490472)"
DOZWELL BREWING COMPANY LLC,DODGETON CREEK BREWING COMPANY,Wholesale Beer (malt liquor),07/25/18,4709992,36730 DEMOCRACY DRIVE,Trinidad,CO,81082,"36730 DEMOCRACY DRIVE
Trinidad, CO 81082
(37.217657, -104.490472)"
"8,776.66 INC",SOW'S EAR,Hotel & Restaurant (county),07/25/18,4710310,48475 US HIGHWAY 550,Durango,CO,81301,"48475 US HIGHWAY 550
Durango, CO 81301
(37.613713, -107.813117)"
"TERTULIA CELLARS, LLC",TERTULIA CELLARS,Wine Delivery Permit,07/25/18,4710345,1564 WHITELEY ROAD,Walla Walla,WA,99362,"1564 WHITELEY ROAD
Walla Walla, WA 99362
(46.012951, -118.360328)"
LA PELLE WINES LLC,LA PELLE WINES,Wine Delivery Permit,07/25/18,4710346,620 TRANCAS STREET,Napa,CA,94558,"620 TRANCAS STREET
Napa, CA 94558
(38.324863, -122.286813)"
LES BOURGEOIS VINEYARDS INC.,LES BOURGEOIS VINEYARDS,Wine Delivery Permit,07/25/18,4710347,12847 WEST HIGHWAY BB,Rocheport,MO,65279,"12847 WEST HIGHWAY BB
Rocheport, MO 65279
(38.968896, -92.534494)"
SPRINGS ABC LLC,THE SPRINGS RESORT & SPA,Lodging & Entertainment (City),07/25/18,4710325,323 HOT SPRINGS BOULEVARD,Pagosa Springs,CO,81147,"323 HOT SPRINGS BOULEVARD
Pagosa Springs, CO 81147
(37.264696, -107.00966)"
"DARO, LLC",ROBERT ANDERSON GALLERY,Art Gallery Permit,07/25/18,4710062,3321 EAST COLFAX AVENUE,Denver,CO,80206,"3321 EAST COLFAX AVENUE
Denver, CO 80206
(39.740144, -104.948024)"
"ADAMS WINERY, LLC",BELLA VINEYARDS,Wine Delivery Permit,07/25/18,4710358,9711 WEST DRY CREEK ROAD,Healdsburg,CA,95448,"9711 WEST DRY CREEK ROAD
Healdsburg, CA 95448
(38.706314, -122.980806)"
NANNY'S TAQUERIA LLC,NANNY'S TAQUERIA,Hotel & Restaurant (city),07/25/18,4710220,101 SOUTH 11TH STREET,Dolores,CO,81323,"101 SOUTH 11TH STREET
Dolores, CO 81323
(37.475137, -108.495462)"
"BRAVO PIZZA COMPANY, LLC",ANTHONY'S PIZZA AND PASTA,Beer & Wine (city),07/25/18,4709987,"1180 MAIN STREET, SUITE 9&10",Windsor,CO,80550,"1180 MAIN STREET, SUITE 9&amp;10
Windsor, CO 80550
(40.479662, -104.918975)"
BRIGHTSTAR GOLF REDLANDS MESA LLC,THE GOLF CLUB AT REDLANDS MESA,Hotel & Restaurant / Optional (city),07/25/18,4709665,2325 WEST RIDGES BOULEVARD,Grand Junction,CO,81507,"2325 WEST RIDGES BOULEVARD
Grand Junction, CO 81507
(39.056694, -108.619344)"
SUNCOR ENERGY SALES INC.,SHELL #147,3.2% Beer Off Premises (city),07/25/18,4600799,8020 SOUTH BROADWAY,Littleton,CO,80122,"8020 SOUTH BROADWAY
Littleton, CO 80122
(39.57148, -104.988428)"
SUNCOR ENERGY SALES INC.,EXXON #28,3.2% Beer Off Premises (city),07/25/18,4600800,6556 SOUTH BROADWAY,Littleton,CO,80121,"6556 SOUTH BROADWAY
Littleton, CO 80121
(39.599963, -104.988185)"
"KARTAR, INC. & 7-ELEVEN, INC.",7-ELEVEN STORE 35519B,3.2% Beer Off Premises (city),07/25/18,4600806,4406 NORTH SHERIDAN BOULEVARD,Denver,CO,80212,"4406 NORTH SHERIDAN BOULEVARD
Denver, CO 80212
(39.776864, -105.053241)"
WHOLE FOODS MARKET ROCKY MOUNTAIN/ SOUTHWEST L.P.,WHOLE FOODS MARKET,3.2% Beer Off Premises (city),07/25/18,4600787,2375 EAST 1ST AVENUE,Denver,CO,80206,"2375 EAST 1ST AVENUE
Denver, CO 80206
(39.718211, -104.956777)"
"LEEVERS SUPERMARKETS, INC.",SAVE-A-LOT COMMERCE CITY,3.2% Beer Off Premises (city),07/24/18,4600752,7290 MONACO STREET,Commerce City,CO,80022,"7290 MONACO STREET
Commerce City, CO 80022
(39.82913, -104.912048)"
CHAMOS LTD,CHAMOS RESTAURANTE,Hotel & Restaurant (city),07/24/18,4709913,129 EAST 3RD STREET,Rifle,CO,81650,"129 EAST 3RD STREET
Rifle, CO 81650
(39.531592, -107.782552)"
FIDEL EAST AFRICAN RESTAURANT,FIDEL EAST AFRICAN RESTAURANT,Hotel & Restaurant (city),07/24/18,4709740,"1074 SOUTH IRONTON STREET, UNITS I & J",Aurora,CO,80012,
SOPAW LLC,DOS WAPOS,Hotel & Restaurant (city),07/24/18,4710155,1389 FOREST PARK CIRCLE #102,Lafayette,CO,80026,"1389 FOREST PARK CIRCLE #102
Lafayette, CO 80026
(40.01433, -105.12801)"
,KYLE NATHAN SURBER,Manager Permit (LLDS),07/23/18,4710021,21747 EAST MANSFIELD PLACE,Aurora,CO,80018,"21747 EAST MANSFIELD PLACE
Aurora, CO 80018
(39.645645, -104.733617)"
DILLON COMPANIES LLC,DEANNA LEA MANTELLI,Manager Permit (LLDS),07/23/18,4710136,5186 EAST HAMILTON AVENUE,Castle Rock,CO,80104,"5186 EAST HAMILTON AVENUE
Castle Rock, CO 80104
(39.362605, -104.808644)"
DILLON COMPANIES LLC,VALERIE D. COGIL,Manager Permit (LLDS),07/23/18,4710163,1414 CASTLE CREEK CIRCLE,Castle Rock,CO,80104,
DILLON COMPANIES LLC,DANIEL NICHOLAS COTTON,Manager Permit (LLDS),07/23/18,4710149,259 LOCKWOOD STREET,Castle Rock,CO,80104,"259 LOCKWOOD STREET
Castle Rock, CO 80104
(39.367301, -104.813535)"
COSTCO WHOLESALE CORPORATION,SHAELIN REBECCA RADFORD,Manager Permit (LLDS),07/23/18,4710256,2450 WINDROW DRIVE E207,Fort Collins,CO,80525,"2450 WINDROW DRIVE E207
Fort Collins, CO 80525
(40.554892, -105.037346)"
COSTCO WHOLESALE CORPORATION,BRYCE W PITTSENBARGER,Manager Permit (LLDS),07/23/18,4710257,1708 88TH AVENUE,Greeley,CO,80634,"1708 88TH AVENUE
Greeley, CO 80634
(40.409799, -104.821222)"
JEE GROVER & SARAH CAMPBELL,UNDERGROUND STUDIO & EATERY LLP,Lodging & Entertainment (City),07/24/18,4710217,698 BRIGGS STREET UNIT A (LOWER LEVEL),Erie,CO,80516,"698 BRIGGS STREET UNIT A (LOWER LEVEL)
Erie, CO 80516
(40.051417, -105.047446)"
NEEDLE ROCK BREWING COMPANY LLC,CLUB NEEDLE ROCK,Hotel & Restaurant / Optional (city),07/24/18,4710278,9900 DEVIL'S THUMB ROAD,Delta,CO,81416,"9900 DEVIL'S THUMB ROAD
Delta, CO 81416
(38.795722, -108.065824)"
,THEODORE A CONTRERAS,Manager Permit (LLDS),07/23/18,4709599,11289 EMPORIA STREET,Henderson,CO,80640,"11289 EMPORIA STREET
Henderson, CO 80640
(39.901568, -104.873131)"
PAM GUY FLORENCE LLC,LOUIE'S,Tavern (city),07/23/18,4710225,109 SOUTH PIKES PEAK AVENUE,Florence,CO,81226,"109 SOUTH PIKES PEAK AVENUE
Florence, CO 81226
(38.389526, -105.117924)"
PASSPORT COFFEE CO. INC.,WAYFINDER COFFEE CO,Beer & Wine (city),07/23/18,4710179,"6140 AUSTIN BLUFFS PARKWAY, SUITE 140",Colorado Springs,CO,80918,"6140 AUSTIN BLUFFS PARKWAY, SUITE 140
Colorado Springs, CO 80918
(38.921656, -104.73857)"
THE 146 TAPHOUSE LLC,THE 146 TAPHOUSE,Tavern (city),07/23/18,4710076,146 WEST 1ST STREET,Salida,CO,81201,"146 WEST 1ST STREET
Salida, CO 81201
(38.536767, -105.99262)"
RLJ II-C LONGMONT LESSEE LLC & IH WL ACQUISITION MANAGER LLC,COURTYARD BY MARRIOTT LONGMONT,Hotel & Restaurant (city),07/23/18,4710089,1410 DRY CREEK DRIVE,Longmont,CO,80503,"1410 DRY CREEK DRIVE
Longmont, CO 80503
(40.140586, -105.13375)"
YUM YUM RESTAURANT INC.,YUM YUM RESTAURANT,Hotel & Restaurant (city),07/23/18,4709769,1300 WEST ELIZABETH STREET,Fort Collins,CO,80521,"1300 WEST ELIZABETH STREET
Fort Collins, CO 80521
(40.574566, -105.100402)"
CHINA JADE RESTAURANT INC.,CHINA JADE,Hotel & Restaurant (city),07/23/18,4709791,12203 EAST ILIFF AVENUE UNIT D & F,Aurora,CO,80014,"12203 EAST ILIFF AVENUE UNIT D &amp; F
Aurora, CO 80014
(39.674896, -104.845553)"
WESTDEN LTD,PIT STOP TAVERN,Tavern (city),07/23/18,4709985,5110 WEST COLFAX AVENUE,Denver,CO,80204,"5110 WEST COLFAX AVENUE
Denver, CO 80204
(39.74032, -105.052484)"
TOLER BROTHERS LLC,TOLER BROTHERS COLO ST FR ARENA CTR,Hotel & Restaurant (city),07/23/18,4710006,1001 BEULAH AVENUE COLORADO STATE FAIR EVENTS CENTER,Pueblo,CO,81003,
HOWARD INC.,FREEDOM LIQUOR,Liquor Store (city),07/23/18,4710070,"5607 BARNES ROAD, SUITE 110",Colorado Springs,CO,80917,"5607 BARNES ROAD, SUITE 110
Colorado Springs, CO 80917
(38.894341, -104.723415)"
"BOTTLE CRAFT BEVERAGE, INC.",BOTTLE CRAFT BEVERAGE,Liquor Store (city),07/23/18,4709968,"4257 MAIN STREET, UNIT 100",Westminster,CO,80031,"4257 MAIN STREET, UNIT 100
Westminster, CO 80031
(39.912878, -105.041849)"
SODEXO AMERICA LLC,SODEXO,Related Facility Permit (City),07/23/18,4710356,1601 1ST STREET,Alamosa,CO,81102,"1601 1ST STREET
Alamosa, CO 81102
(37.472937, -105.878372)"
SODEXO AMERICA LLC,SODEXO,Related Facility Permit (City),07/23/18,4710357,1601 1ST STREET,Alamosa,CO,81102,"1601 1ST STREET
Alamosa, CO 81102
(37.472937, -105.878372)"
SSH TRS M LLC AND IH WL ACQUISITION MANAGER LLC,RESIDENCE INN GRAND JUNCTION,Lodging & Entertainment (City),07/20/18,4709547,767 HORIZON DRIVE,Grand Junction,CO,81506,"767 HORIZON DRIVE
Grand Junction, CO 81506
(39.115377, -108.533519)"
WHOLE FOODS MARKET ROCKY MOUNTAIN/ SOUTHWEST LP,WHOLE FOODS MARKET,3.2% Beer Off Premises (city),07/20/18,4600819,4451 MAIN STREET,Westminster,CO,80031,"4451 MAIN STREET
Westminster, CO 80031
(39.912866, -105.043835)"
SODEXO AMERICA LLC,SODEXO,Related Facility Permit (City),11/16/18,03-10910,"COLLEGE CENTER, 1455 NORTH 12TH STREET",Grand Junction,CO,81501,
WHITE GROVES BARBER LLC,WHITE GROVES BARBER,Beer & Wine (city),07/20/18,4710037,341 EAST 4TH STREET,Loveland,CO,80537,"341 EAST 4TH STREET
Loveland, CO 80537
(40.395444, -105.072175)"
"RINO BARBECUE, LLC",SMOK,Hotel & Restaurant (city),07/20/18,4709802,3330 BRIGHTON BOULEVARD #202,Denver,CO,80216,"3330 BRIGHTON BOULEVARD #202
Denver, CO 80216
(39.768888, -104.980723)"
"BBB CS3, LLC",SMASHBURGER,Beer & Wine (city),07/20/18,4710066,1634 SOUTH NEVADA AVENUE SUITE 100,Colorado Springs,CO,80905,"1634 SOUTH NEVADA AVENUE SUITE 100
Colorado Springs, CO 80905
(38.810092, -104.822423)"
"H.I. HERITAGE INN OF WESTMINSTER OPCO, L.L.C.",WESTMINSTER HAMPTON INN,Beer & Wine (city),07/20/18,4710180,5030 WEST 88TH PLACE,Westminster,CO,80031,"5030 WEST 88TH PLACE
Westminster, CO 80031
(39.858805, -105.05317)"
BROOKS CONSULTING SERVICES LLC,BACKYARD TAP,Beer & Wine (city),07/20/18,4710145,323 NORTH RAILROAD AVENUE,Loveland,CO,80537,"323 NORTH RAILROAD AVENUE
Loveland, CO 80537
(40.395006, -105.076638)"
SUMO THORNTON INC.,SUMO SUSHI & GRILL,Hotel & Restaurant (city),07/19/18,4710165,10048 GRANT STREET,Thornton,CO,80229,"10048 GRANT STREET
Thornton, CO 80229
(39.878357, -104.983645)"
Y & P LLC,THE LOST CAJUN - WESTMINSTER,Hotel & Restaurant (city),07/19/18,4710181,"3013 WEST 104TH AVENUE, UNIT 100",Westminster,CO,80031,"3013 WEST 104TH AVENUE, UNIT 100
Westminster, CO 80031
(39.885209, -105.026267)"
ABIEL COLORADO LLC,WABASH DISCOUNT WINE & LIQUOR,Liquor Store (county),07/19/18,4710292,"8400 EAST ILIFF AVENUE, UNIT 6",Denver,CO,80231,"8400 EAST ILIFF AVENUE, UNIT 6
Denver, CO 80231
(39.674721, -104.890334)"
"CONTINENTAL VINEYARDS, LLC",BROKEN EARTH WINERY,Importer (vinous & spirituous),07/19/18,4709870,5625 EAST HIGHWAY 46,Paso Robles,CA,93446,"5625 EAST HIGHWAY 46
Paso Robles, CA 93446
(35.659281, -120.594798)"
"ELEVATION BEER COMPANY, LLC",ELEVATION BEER COMPANY,Wholesale Beer (malt liquor),07/19/18,4710260,701 FRONT LOOP,Buena Vista,CO,81211,"701 FRONT LOOP
Buena Vista, CO 81211
(38.841754, -106.119001)"
"FIRESTONE WALKER, INC.",FIRESTONE WALKER BREWING COMPANY,Nonresident Manufacturer (malt liquor),07/19/18,4710118,1400 RAMADA DRIVE,Paso Robles,CA,93446,"1400 RAMADA DRIVE
Paso Robles, CA 93446
(35.596009, -120.694955)"
TRIPPLE RMG LLC,BERKELEY VILLAGE LIQUOR,Liquor Store (county),07/18/18,4709497,5302 SHERIDAN BLVD,Arvada,CO,80002,"5302 SHERIDAN BLVD
Arvada, CO 80002
(39.79294, -105.053106)"
MD4M INC,BOUZY WINE & SPIRITS,Liquor Store (city),07/18/18,4710291,"5910 SOUTH UNIVERSITY BLVD, UNIT D4",Greenwood Village,CO,80121,"5910 SOUTH UNIVERSITY BLVD, UNIT D4
Greenwood Village, CO 80121
(39.609314, -104.96)"
"CIRCLE K STORES, INC.",CIRCLE K STORE #2703598,3.2% Beer Off Premises (county),07/18/18,4600794,613 MEADOWBROOK PARKWAY,Colorado Springs,CO,80915,"613 MEADOWBROOK PARKWAY
Colorado Springs, CO 80915
(38.843723, -104.691797)"
RLJ II-R LONGMONT LLC & IH WL ACQUISITION MGR LLC,RESIDENCE INN LONGMONT,Hotel & Restaurant (city),07/18/18,4710088,1450 DRY CREEK DRIVE,Longmont,CO,80503,"1450 DRY CREEK DRIVE
Longmont, CO 80503
(40.139961, -105.133757)"
"PRESSED, LLC","PRESSED, COFFEE & WINE HOUSE",Hotel & Restaurant (city),07/18/18,4709998,392 WEST THIRD STREET,Palisade,CO,81526,"392 WEST THIRD STREET
Palisade, CO 81526
(39.109759, -108.355249)"
"S&Z, INC.",CHINA VILLAGE CHINESE RESTAURANT,Hotel & Restaurant (county),07/17/18,4709746,60693 US HIGHWAY 285,Bailey,CO,80421,"60693 US HIGHWAY 285
Bailey, CO 80421
(39.405498, -105.475191)"
WATERSHED LLC,ASPEN TAP,Hotel & Restaurant (city),07/17/18,4709682,"121 SOUTH GALENA STREET UNITS A,B,C",Aspen,CO,81611,"121 SOUTH GALENA STREET UNITS A,B,C
Aspen, CO 81611
(39.189834, -106.818232)"
ASPEN WIENERSTUBE LLC,WIENERSTUBE,Hotel & Restaurant (city),07/17/18,4710121,0351 MARKET STREET,Basalt,CO,81621,"0351 MARKET STREET
Basalt, CO 81621
(39.385831, -107.08189)"
"K & T STYLISTS, LLC",SERENITY AT FIVE PARKS,Beer & Wine (city),07/17/18,4710195,8565 FIVE PARKS DRIVE,Arvada,CO,80005,"8565 FIVE PARKS DRIVE
Arvada, CO 80005
(39.849708, -105.155425)"
LA NONNA INC,LA NONNA RISTORANTE,Hotel & Restaurant (city),07/17/18,4710176,100 EAST MEADOW DRIVE UNIT #24,Vail,CO,81657,"100 EAST MEADOW DRIVE UNIT #24
Vail, CO 81657
(39.642107, -106.377505)"
"7-ELEVEN, INC.",7-ELEVEN STORE 33040J,3.2% Beer Off Premises (county),07/17/18,4600813,8380 SOUTH COLORADO BOULEVARD,Highlands Ranch,CO,80126,"8380 SOUTH COLORADO BOULEVARD
Highlands Ranch, CO 80126
(39.564728, -104.941744)"
PESTER MARKETING COMPANY,ALTA #6115,3.2% Beer Off Premises (county),07/17/18,4600836,11399 US HIGHWAY 24,Divide,CO,80814,"11399 US HIGHWAY 24
Divide, CO 80814
(38.944126, -105.152403)"
LOVE N PEACE INC.,JOHNSTOWN LIQUORS,Liquor Store (city),07/17/18,4710042,257 JOHNSTOWN CENTER DR#1102,Johnstown,CO,80534,"257 JOHNSTOWN CENTER DR#1102
Johnstown, CO 80534
(40.33305, -104.906946)"
"7-ELEVEN, INC.",7-ELEVEN STORE 38226H,3.2% Beer Off Premises (city),07/17/18,4600812,8790 INDIANA STREET,Arvada,CO,80005,"8790 INDIANA STREET
Arvada, CO 80005
(39.856329, -105.165326)"
PESTER MARKETING COMPANY,ALTA #6122,3.2% Beer Off Premises (city),07/17/18,4600746,1228 ROYAL GORGE BOULEVARD,Canon City,CO,81212,"1228 ROYAL GORGE BOULEVARD
Canon City, CO 81212
(38.444486, -105.230047)"
FRESH FOODS INC.,FRESH FOODS LIQUOR,Liquor Store (city),07/17/18,4710247,1302 EDISON STREET,Brush,CO,80723,"1302 EDISON STREET
Brush, CO 80723
(40.254959, -103.636091)"
WM3 INC.,SONORA LIQUORS,Liquor Store (city),07/17/18,4710249,566 NORTH DAYTON STREET,Aurora,CO,80010,"566 NORTH DAYTON STREET
Aurora, CO 80010
(39.724888, -104.875346)"
LALIGURAS INC.,DURBAR NEPALESE AND INDIAN BISTRO,Hotel & Restaurant (city),07/17/18,4710263,11903 WEST 6TH AVENUE,Lakewood,CO,80401,"11903 WEST 6TH AVENUE
Lakewood, CO 80401
(39.724851, -105.154041)"
DJ GRILL & TAP CONCEPTS INC,BLUE 32 SPORTS GRILLE,Hotel & Restaurant (city),07/16/18,4710231,3021 NORTH GARFIELD AVENUE,Loveland,CO,80538,"3021 NORTH GARFIELD AVENUE
Loveland, CO 80538
(40.424315, -105.07764)"
T&B PROPERTIES,WESTLAKE LIQUORS,Liquor Store (county),07/16/18,4710119,137 COUNTY ROAD 67A,Red Feather Lakes,CO,80545,"137 COUNTY ROAD 67A
Red Feather Lakes, CO 80545
(40.794259, -105.592196)"
WHISKEY PETE'S LIQUORS LLC,WHISKEY PETE'S LIQUORS,Liquor Store (city),07/16/18,4710212,324 13TH STREET,Greeley,CO,80631,"324 13TH STREET
Greeley, CO 80631
(40.418346, -104.682337)"
LINMOR LLC,THE NEST BAR,Tavern (city),07/16/18,4710160,8807 WEST COLFAX AVENUE,Lakewood,CO,80215,"8807 WEST COLFAX AVENUE
Lakewood, CO 80215
(39.740291, -105.096486)"
VIETNAMESE CAFE INC.,VIETNAMESE CAFE,Hotel & Restaurant (city),07/16/18,4709883,3744 EAST 104TH AVENUE,Thornton,CO,80233,"3744 EAST 104TH AVENUE
Thornton, CO 80233
(39.8848, -104.943533)"
EL CAMARON LOCO MARISQUERIA INC.,EL CAMARON LOCO MARISQUERIA,Hotel & Restaurant (city),07/16/18,4710010,218 NORTH MAIN STREET,Brighton,CO,80601,"218 NORTH MAIN STREET
Brighton, CO 80601
(39.98928, -104.820722)"
JUN HAN INC.,SUSHI KATSU 3,Hotel & Restaurant (city),07/13/18,4710187,1862 SOUTH WADSWORTH BOULEVARD,Lakewood,CO,80232,"1862 SOUTH WADSWORTH BOULEVARD
Lakewood, CO 80232
(39.683701, -105.081432)"
EL MUCHACHO ALEGRE LLC,EL MUCHACHO ALEGRE LLC,Hotel & Restaurant (city),07/13/18,4710061,"3113 PEORIA STREET, UNIT E",Aurora,CO,80010,"3113 PEORIA STREET, UNIT E
Aurora, CO 80010
(39.760707, -104.846948)"
